jd_id,job_title,max_score,avg_top5
885,Machine Learning,12.32,10.75
1066,Software Engineer,12.43,10.749999999999998
2237,Flutter Developer,14.11,10.739999999999998
2258,Software Engineer,14.91,10.726
1957,Java Developer,16.08,10.724
1363,Java Developer,18.07,10.722
452,JavaScript Developer,15.49,10.722
2008,Backend Developer,18.66,10.719999999999999
1285,JavaScript Developer,12.79,10.718
1465,Java Developer,16.52,10.701999999999998
1863,iOS Developer,13.67,10.693999999999999
1847,Java Developer,15.05,10.692
2017,Java Developer,11.55,10.691999999999998
1872,Node js developer,16.78,10.684000000000001
708,Node js developer,13.23,10.675999999999998
1850,Network Administrator,24.89,10.672
970,Database Administrator,12.77,10.67
1041,Flutter Developer,14.56,10.668000000000001
1088,PHP Developer,18.4,10.668000000000001
1636,Node js developer,14.72,10.666
1224,DevOps Engineer,16.43,10.661999999999997
141,PHP Developer,14.91,10.66
2084,JavaScript Developer,13.39,10.656
1080,iOS Developer,15.37,10.654
134,Network Administrator,20.16,10.65
120,PHP Developer,12.19,10.638000000000002
1063,Java Developer,16.42,10.632000000000001
1721,Network Administrator,16.97,10.622000000000002
1794,Java Developer,15.31,10.617999999999999
1563,Software Engineer,19.5,10.614
903,Network Administrator,16.38,10.61
1069,Backend Developer,13.98,10.604
392,Django Developer,17.38,10.602
444,Machine Learning,16.33,10.6
905,Java Developer,14.04,10.594
1594,Network Administrator,13.66,10.584
367,PHP Developer,13.19,10.572
484,Django Developer,12.19,10.569999999999999
1186,iOS Developer,12.91,10.565999999999999
1192,iOS Developer,12.74,10.56
1198,DevOps Engineer,11.31,10.554
750,Node js developer,13.71,10.526
517,Database Administrator,13.87,10.518
232,DevOps Engineer,17.5,10.506
287,Backend Developer,13.93,10.506
2071,Network Administrator,19.64,10.494000000000002
1188,Wordpress Developer,13.56,10.494
859,Django Developer,11.82,10.492
1984,PHP Developer,13.6,10.492
719,JavaScript Developer,13.58,10.459999999999999
760,Database Administrator,12.9,10.438
1770,Machine Learning,12.92,10.436
2154,JavaScript Developer,14.37,10.434
952,DevOps Engineer,14.47,10.429999999999998
659,Network Administrator,17.15,10.395999999999999
1797,Java Developer,13.39,10.386
533,Full Stack Developer,10.95,10.367999999999999
1286,Network Administrator,14.46,10.360000000000001
553,PHP Developer,13.57,10.358
528,Django Developer,12.43,10.358
273,iOS Developer,14.61,10.34
385,JavaScript Developer,12.92,10.325999999999999
1344,Network Administrator,21.83,10.324
1015,Backend Developer,13.7,10.315999999999999
883,iOS Developer,12.95,10.31
857,Software Engineer,13.08,10.303999999999998
526,Full Stack Developer,12.53,10.3
2117,Java Developer,10.7,10.298
1515,Software Engineer,14.75,10.296
214,PHP Developer,11.89,10.284
265,Node js developer,11.77,10.282
481,Full Stack Developer,15.05,10.264
836,Flutter Developer,11.59,10.260000000000002
1427,JavaScript Developer,11.19,10.258
779,Software Engineer,12.5,10.254
1855,Database Administrator,16.48,10.25
925,iOS Developer,12.42,10.245999999999999
1833,Django Developer,11.36,10.236
1648,iOS Developer,12.72,10.23
2255,Node js developer,11.79,10.23
1416,Flutter Developer,12.77,10.23
1511,DevOps Engineer,14.38,10.226
1574,PHP Developer,12.54,10.224
2018,Django Developer,14.87,10.212
1706,iOS Developer,13.14,10.2
932,Network Administrator,17.53,10.188
1534,Backend Developer,14.42,10.187999999999999
1226,Backend Developer,16.09,10.181999999999999
173,Full Stack Developer,11.35,10.177999999999999
334,JavaScript Developer,12.39,10.176
47,DevOps Engineer,14.77,10.163999999999998
228,Wordpress Developer,13.94,10.16
805,Network Administrator,20.98,10.16
2209,iOS Developer,14.13,10.154
1678,Network Administrator,17.05,10.150000000000002
166,Wordpress Developer,11.04,10.15
1061,Network Administrator,21.28,10.146
1880,Flutter Developer,19.99,10.145999999999997
1527,JavaScript Developer,12.35,10.142
892,Software Engineer,11.74,10.138
1329,Flutter Developer,13.1,10.126
1262,PHP Developer,14.42,10.11
2105,Backend Developer,15.27,10.11
972,JavaScript Developer,11.87,10.108
2074,Java Developer,11.92,10.105999999999998
769,PHP Developer,12.22,10.102
1685,Wordpress Developer,11.53,10.092
1448,Full Stack Developer,13.27,10.09
55,PHP Developer,15.25,10.084
432,Flutter Developer,12.3,10.081999999999999
1553,PHP Developer,15.19,10.075999999999999
306,JavaScript Developer,11.0,10.072
1310,iOS Developer,13.91,10.062
754,Node js developer,11.47,10.062
610,Node js developer,11.32,10.059999999999999
2157,Network Administrator,14.68,10.054
1541,Node js developer,17.96,10.038
252,Flutter Developer,14.99,10.036
2227,Node js developer,13.56,10.032
1426,Django Developer,16.13,10.010000000000002
1118,iOS Developer,14.86,10.004
185,Software Engineer,18.55,10.002
1805,Backend Developer,12.06,10.001999999999999
539,Flutter Developer,15.28,10.0
919,iOS Developer,15.28,10.0
156,Flutter Developer,10.17,9.998000000000001
1695,Network Administrator,17.12,9.998
2177,Java Developer,13.34,9.995999999999999
1151,Machine Learning,11.65,9.99
1455,Java Developer,12.16,9.989999999999998
514,Backend Developer,15.2,9.988
1057,Flutter Developer,13.77,9.987999999999998
2241,Database Administrator,12.0,9.986
66,Node js developer,11.41,9.98
1265,Django Developer,17.25,9.972
216,Network Administrator,18.58,9.966
1167,PHP Developer,11.69,9.964000000000002
1651,DevOps Engineer,11.85,9.956
1922,Django Developer,13.64,9.956
2022,Java Developer,11.71,9.95
1156,JavaScript Developer,12.39,9.948
303,iOS Developer,17.24,9.947999999999999
822,iOS Developer,13.54,9.946000000000002
547,Machine Learning,12.48,9.940000000000001
477,Node js developer,15.58,9.937999999999999
1183,Machine Learning,12.84,9.936
2243,Backend Developer,13.61,9.931999999999999
1296,Database Administrator,10.75,9.926
1258,Network Administrator,18.11,9.919999999999998
590,Java Developer,13.06,9.913999999999998
1602,Node js developer,19.91,9.91
5,Java Developer,11.55,9.896
874,Django Developer,11.58,9.894000000000002
1112,JavaScript Developer,10.69,9.894
2142,Network Administrator,15.46,9.892
72,Full Stack Developer,14.58,9.888000000000002
593,DevOps Engineer,13.41,9.882
679,Flutter Developer,14.08,9.874
2147,PHP Developer,15.8,9.868
1772,Full Stack Developer,14.15,9.862
783,Django Developer,13.59,9.854
570,Network Administrator,13.57,9.83
292,PHP Developer,14.22,9.822
1011,Wordpress Developer,14.22,9.822
1925,Backend Developer,11.74,9.818000000000001
1665,JavaScript Developer,13.11,9.812000000000001
2152,Flutter Developer,10.43,9.809999999999999
1092,Node js developer,12.27,9.809999999999999
801,Software Engineer,15.69,9.806000000000001
1131,Software Engineer,11.61,9.803999999999998
1802,Network Administrator,15.78,9.792
115,JavaScript Developer,13.09,9.792
196,Software Engineer,14.92,9.791999999999998
1337,iOS Developer,15.05,9.79
1517,PHP Developer,11.55,9.788
2229,Django Developer,14.2,9.788
1155,Network Administrator,17.08,9.788
479,Full Stack Developer,11.23,9.778
375,Node js developer,12.92,9.778
1996,Network Administrator,18.32,9.776
245,Wordpress Developer,11.96,9.776
1391,Node js developer,10.22,9.772
1555,Django Developer,12.28,9.77
455,Wordpress Developer,10.92,9.766
1180,Flutter Developer,10.68,9.764
1789,JavaScript Developer,17.99,9.762
180,Node js developer,11.67,9.762
753,Django Developer,14.09,9.745999999999999
997,Django Developer,11.67,9.744
887,Network Administrator,20.4,9.741999999999999
399,Network Administrator,17.28,9.738
1823,Django Developer,16.36,9.727999999999998
1484,Network Administrator,14.92,9.706
869,JavaScript Developer,12.52,9.698
393,Machine Learning,11.73,9.693999999999999
861,Node js developer,11.99,9.690000000000001
1051,JavaScript Developer,11.63,9.684000000000001
1906,Flutter Developer,10.42,9.677999999999999
2226,Full Stack Developer,13.36,9.675999999999998
934,PHP Developer,14.51,9.675999999999998
132,Backend Developer,11.76,9.674
1353,Flutter Developer,12.07,9.662
1798,PHP Developer,13.5,9.66
1326,Java Developer,13.92,9.648
1585,PHP Developer,13.08,9.644
152,Wordpress Developer,11.94,9.644
847,Software Engineer,10.45,9.642
34,Backend Developer,12.24,9.64
1680,Machine Learning,12.46,9.64
2179,JavaScript Developer,17.1,9.638000000000002
1877,Backend Developer,11.58,9.632000000000001
1071,Database Administrator,15.12,9.632
179,Django Developer,9.8,9.626000000000001
858,Network Administrator,12.36,9.626
1990,Software Engineer,12.52,9.623999999999999
1202,Wordpress Developer,12.82,9.62
1137,Django Developer,11.67,9.618
1607,Network Administrator,18.12,9.616
2156,iOS Developer,12.0,9.61
1358,PHP Developer,13.78,9.61
309,Django Developer,10.23,9.61
2211,Django Developer,13.3,9.606
1352,Software Engineer,16.82,9.602
54,PHP Developer,17.24,9.599999999999998
842,iOS Developer,12.71,9.59
1315,Database Administrator,12.87,9.582
441,iOS Developer,11.99,9.582
1686,Node js developer,12.69,9.58
1038,Network Administrator,21.98,9.578
2216,Wordpress Developer,12.83,9.575999999999999
868,PHP Developer,12.26,9.574000000000002
1745,Software Engineer,11.02,9.574
930,Full Stack Developer,12.47,9.569999999999999
1146,Network Administrator,15.06,9.568000000000001
408,Node js developer,11.74,9.562000000000001
658,Software Engineer,10.44,9.559999999999999
529,Django Developer,14.31,9.558000000000002
1398,Django Developer,14.06,9.556000000000001
2178,Node js developer,12.05,9.553999999999998
1452,PHP Developer,17.74,9.552
1942,iOS Developer,11.56,9.548
1522,JavaScript Developer,11.67,9.542
1865,Flutter Developer,11.37,9.536
668,Database Administrator,12.32,9.528
286,Wordpress Developer,16.26,9.524000000000001
1303,Full Stack Developer,11.91,9.508000000000001
123,Node js developer,10.64,9.508000000000001
1462,Flutter Developer,10.86,9.505999999999998
43,Wordpress Developer,10.64,9.494
2118,Django Developer,13.88,9.492
1077,Flutter Developer,14.36,9.49
1800,PHP Developer,12.0,9.488
781,Django Developer,10.91,9.488
226,Database Administrator,10.53,9.486
1616,Database Administrator,10.97,9.48
2262,Backend Developer,12.18,9.472000000000001
2004,Django Developer,13.96,9.468
1944,Network Administrator,13.02,9.468
31,PHP Developer,12.31,9.458
854,Software Engineer,12.05,9.456
810,Wordpress Developer,12.66,9.452
1160,Node js developer,10.74,9.450000000000001
1278,Network Administrator,16.23,9.447999999999999
1542,iOS Developer,11.97,9.440000000000001
617,iOS Developer,11.6,9.437999999999999
641,Java Developer,11.78,9.436
1532,DevOps Engineer,15.86,9.428
