resume_id,score,coverage,decision
1188,21.54,0.47,Rejected
510,21.54,0.47,Rejected
319,21.54,0.4,Rejected
236,21.53,0.47,Rejected
1091,21.51,0.47,Rejected
1991,21.5,0.4,Rejected
983,21.5,0.47,Rejected
89,21.5,0.47,Rejected
1145,21.5,0.47,Rejected
1933,21.48,0.47,Rejected
1977,21.47,0.4,Rejected
1847,21.43,0.47,Rejected
1684,21.4,0.47,Rejected
1724,21.4,0.47,Rejected
721,21.37,0.47,Rejected
1628,21.37,0.47,Rejected
1638,21.36,0.47,Rejected
684,21.35,0.47,Rejected
1665,21.34,0.47,Rejected
858,21.31,0.47,Rejected
1600,21.31,0.47,Rejected
959,21.3,0.47,Rejected
2192,21.29,0.47,Rejected
1184,21.28,0.47,Rejected
140,21.28,0.47,Rejected
962,21.28,0.47,Rejected
1086,21.22,0.47,Rejected
2344,21.22,0.47,Rejected
1721,21.22,0.4,Rejected
529,21.21,0.47,Rejected
1722,21.21,0.47,Rejected
1164,21.21,0.47,Rejected
2260,21.18,0.47,Rejected
2363,21.17,0.47,Rejected
229,21.16,0.47,Rejected
43,21.15,0.47,Rejected
1571,21.14,0.47,Rejected
149,21.13,0.47,Rejected
1867,21.13,0.47,Rejected
151,21.13,0.47,Rejected
1623,21.12,0.47,Rejected
1667,21.09,0.47,Rejected
30,21.08,0.47,Rejected
308,21.07,0.47,Rejected
863,21.07,0.47,Rejected
233,21.06,0.47,Rejected
819,21.02,0.47,Rejected
675,20.99,0.47,Rejected
1630,20.97,0.47,Rejected
1315,20.97,0.47,Rejected
944,20.96,0.47,Rejected
380,20.95,0.47,Rejected
1172,20.94,0.47,Rejected
1924,20.94,0.4,Rejected
2392,20.94,0.4,Rejected
59,20.93,0.47,Rejected
2333,20.92,0.4,Rejected
1970,20.91,0.4,Rejected
1425,20.9,0.47,Rejected
643,20.9,0.47,Rejected
2480,20.89,0.47,Rejected
1843,20.89,0.47,Rejected
327,20.88,0.47,Rejected
1976,20.88,0.4,Rejected
2168,20.88,0.47,Rejected
328,20.88,0.47,Rejected
897,20.87,0.47,Rejected
295,20.86,0.47,Rejected
1780,20.86,0.47,Rejected
2241,20.85,0.47,Rejected
222,20.84,0.47,Rejected
2004,20.84,0.47,Rejected
1966,20.84,0.47,Rejected
208,20.84,0.47,Rejected
871,20.84,0.47,Rejected
2434,20.83,0.47,Rejected
695,20.83,0.47,Rejected
302,20.82,0.4,Rejected
2031,20.82,0.4,Rejected
2221,20.82,0.47,Rejected
2230,20.81,0.47,Rejected
108,20.79,0.47,Rejected
576,20.79,0.47,Rejected
560,20.78,0.47,Rejected
2320,20.77,0.47,Rejected
201,20.77,0.47,Rejected
159,20.77,0.47,Rejected
1460,20.75,0.47,Rejected
1027,20.75,0.47,Rejected
1297,20.75,0.47,Rejected
508,20.75,0.47,Rejected
2465,20.74,0.47,Rejected
2186,20.74,0.47,Rejected
1247,20.73,0.47,Rejected
1580,20.73,0.47,Rejected
66,20.73,0.47,Rejected
2137,20.72,0.47,Rejected
2460,20.72,0.47,Rejected
218,20.72,0.4,Rejected
2023,20.72,0.4,Rejected
1753,20.71,0.47,Rejected
611,20.7,0.47,Rejected
1893,20.69,0.47,Rejected
1882,20.67,0.47,Rejected
1979,20.66,0.4,Rejected
2041,20.65,0.47,Rejected
2222,20.65,0.4,Rejected
1109,20.65,0.47,Rejected
2166,20.64,0.47,Rejected
283,20.63,0.47,Rejected
365,20.63,0.47,Rejected
1337,20.62,0.47,Rejected
1440,20.62,0.47,Rejected
525,20.61,0.47,Rejected
348,20.6,0.47,Rejected
78,20.6,0.47,Rejected
2062,20.59,0.47,Rejected
895,20.59,0.47,Rejected
2012,20.58,0.47,Rejected
1647,20.56,0.47,Rejected
1296,20.56,0.47,Rejected
1804,20.55,0.47,Rejected
984,20.54,0.47,Rejected
87,20.54,0.47,Rejected
263,20.53,0.47,Rejected
1904,20.52,0.47,Rejected
2081,20.52,0.47,Rejected
95,20.52,0.47,Rejected
1386,20.52,0.47,Rejected
1730,20.5,0.47,Rejected
2001,20.49,0.47,Rejected
118,20.48,0.47,Rejected
1338,20.48,0.47,Rejected
17,20.47,0.47,Rejected
1463,20.47,0.47,Rejected
1474,20.46,0.47,Rejected
97,20.46,0.47,Rejected
1223,20.45,0.47,Rejected
975,20.45,0.47,Rejected
126,20.44,0.4,Rejected
1325,20.44,0.47,Rejected
854,20.44,0.47,Rejected
147,20.43,0.4,Rejected
1085,20.43,0.4,Rejected
755,20.42,0.47,Rejected
317,20.42,0.4,Rejected
18,20.41,0.47,Rejected
2425,20.4,0.47,Rejected
1262,20.39,0.47,Rejected
1151,20.39,0.47,Rejected
608,20.39,0.47,Rejected
1402,20.39,0.47,Rejected
1310,20.38,0.4,Rejected
597,20.38,0.47,Rejected
1765,20.38,0.47,Rejected
2092,20.36,0.47,Rejected
194,20.36,0.4,Rejected
1306,20.36,0.47,Rejected
1860,20.35,0.47,Rejected
749,20.34,0.47,Rejected
2086,20.33,0.47,Rejected
1252,20.32,0.47,Rejected
1594,20.32,0.47,Rejected
458,20.32,0.47,Rejected
1260,20.32,0.47,Rejected
455,20.31,0.47,Rejected
489,20.31,0.47,Rejected
2178,20.3,0.47,Rejected
766,20.3,0.47,Rejected
205,20.28,0.47,Rejected
1989,20.28,0.47,Rejected
681,20.27,0.47,Rejected
2342,20.27,0.4,Rejected
533,20.26,0.47,Rejected
494,20.25,0.47,Rejected
1155,20.25,0.47,Rejected
2155,20.25,0.47,Rejected
1532,20.24,0.47,Rejected
1153,20.23,0.47,Rejected
1222,20.23,0.47,Rejected
337,20.22,0.47,Rejected
845,20.22,0.4,Rejected
2087,20.21,0.4,Rejected
347,20.21,0.47,Rejected
1699,20.19,0.47,Rejected
2118,20.17,0.47,Rejected
1067,20.17,0.47,Rejected
667,20.16,0.4,Rejected
2385,20.16,0.47,Rejected
1444,20.16,0.47,Rejected
1704,20.15,0.47,Rejected
1365,20.15,0.47,Rejected
981,20.14,0.47,Rejected
2381,20.14,0.47,Rejected
1695,20.14,0.47,Rejected
2388,20.14,0.47,Rejected
882,20.12,0.47,Rejected
598,20.11,0.47,Rejected
1832,20.1,0.4,Rejected
2335,20.09,0.47,Rejected
1681,20.09,0.47,Rejected
838,20.09,0.47,Rejected
91,20.08,0.47,Rejected
990,20.07,0.47,Rejected
481,20.07,0.47,Rejected
1627,20.06,0.47,Rejected
1898,20.06,0.47,Rejected
1099,20.05,0.47,Rejected
1815,20.05,0.47,Rejected
1609,20.05,0.47,Rejected
2457,20.04,0.4,Rejected
1238,20.02,0.47,Rejected
1632,20.01,0.47,Rejected
1384,20.01,0.47,Rejected
2346,20.01,0.47,Rejected
2338,20.01,0.47,Rejected
781,20.0,0.47,Rejected
505,20.0,0.47,Rejected
1687,19.99,0.47,Rejected
1443,19.99,0.47,Rejected
1577,19.98,0.47,Rejected
2161,19.98,0.47,Rejected
999,19.97,0.47,Rejected
2210,19.96,0.47,Rejected
745,19.96,0.47,Rejected
441,19.96,0.47,Rejected
2354,19.95,0.47,Rejected
2227,19.95,0.47,Rejected
2324,19.94,0.47,Rejected
2432,19.93,0.47,Rejected
2181,19.93,0.47,Rejected
107,19.93,0.47,Rejected
765,19.91,0.47,Rejected
771,19.91,0.47,Rejected
303,19.91,0.4,Rejected
1451,19.91,0.47,Rejected
2121,19.9,0.47,Rejected
1742,19.9,0.4,Rejected
2211,19.89,0.4,Rejected
1088,19.89,0.47,Rejected
2027,19.89,0.4,Rejected
1793,19.88,0.4,Rejected
2030,19.88,0.33,Rejected
2467,19.87,0.47,Rejected
1418,19.86,0.47,Rejected
2404,19.86,0.47,Rejected
1330,19.83,0.47,Rejected
1048,19.83,0.47,Rejected
436,19.83,0.47,Rejected
2097,19.83,0.47,Rejected
1686,19.82,0.47,Rejected
2177,19.81,0.47,Rejected
1502,19.81,0.4,Rejected
1442,19.8,0.47,Rejected
1366,19.8,0.47,Rejected
2059,19.79,0.47,Rejected
775,19.79,0.47,Rejected
2409,19.78,0.47,Rejected
661,19.77,0.47,Rejected
2119,19.76,0.47,Rejected
2229,19.75,0.4,Rejected
778,19.75,0.4,Rejected
1998,19.72,0.4,Rejected
237,19.72,0.47,Rejected
2157,19.71,0.47,Rejected
501,19.71,0.47,Rejected
1590,19.7,0.4,Rejected
1303,19.7,0.33,Rejected
262,19.7,0.4,Rejected
1074,19.7,0.47,Rejected
1383,19.68,0.47,Rejected
1308,19.68,0.4,Rejected
28,19.68,0.4,Rejected
429,19.68,0.47,Rejected
2049,19.67,0.47,Rejected
490,19.67,0.47,Rejected
1079,19.67,0.47,Rejected
2439,19.65,0.47,Rejected
1814,19.65,0.47,Rejected
129,19.64,0.4,Rejected
2160,19.64,0.47,Rejected
122,19.63,0.4,Rejected
81,19.61,0.4,Rejected
1016,19.61,0.4,Rejected
1743,19.59,0.47,Rejected
1417,19.59,0.47,Rejected
762,19.59,0.47,Rejected
751,19.58,0.4,Rejected
586,19.58,0.4,Rejected
865,19.58,0.4,Rejected
243,19.56,0.4,Rejected
1975,19.55,0.4,Rejected
1433,19.54,0.47,Rejected
887,19.53,0.4,Rejected
761,19.53,0.47,Rejected
834,19.52,0.47,Rejected
2099,19.52,0.4,Rejected
1697,19.52,0.47,Rejected
55,19.51,0.4,Rejected
1244,19.5,0.4,Rejected
2110,19.49,0.4,Rejected
270,19.49,0.4,Rejected
1943,19.49,0.4,Rejected
1398,19.48,0.47,Rejected
1660,19.48,0.47,Rejected
1635,19.47,0.4,Rejected
2472,19.46,0.47,Rejected
2422,19.46,0.4,Rejected
2088,19.46,0.47,Rejected
90,19.42,0.4,Rejected
739,19.41,0.47,Rejected
2154,19.41,0.47,Rejected
646,19.39,0.47,Rejected
1771,19.37,0.4,Rejected
716,19.36,0.4,Rejected
2095,19.36,0.47,Rejected
2336,19.36,0.47,Rejected
1480,19.33,0.4,Rejected
2383,19.32,0.4,Rejected
1789,19.31,0.33,Rejected
1413,19.29,0.47,Rejected
1868,19.26,0.47,Rejected
2459,19.23,0.47,Rejected
58,19.22,0.47,Rejected
747,19.21,0.4,Rejected
239,19.2,0.4,Rejected
2345,19.18,0.47,Rejected
2213,19.17,0.4,Rejected
938,19.17,0.47,Rejected
1455,19.16,0.4,Rejected
1211,19.14,0.4,Rejected
2400,19.13,0.4,Rejected
1783,19.12,0.4,Rejected
2,19.12,0.4,Rejected
120,19.11,0.4,Rejected
1807,19.09,0.47,Rejected
1903,19.09,0.47,Rejected
782,19.09,0.4,Rejected
2386,19.08,0.4,Rejected
925,19.08,0.4,Rejected
1009,19.07,0.47,Rejected
2014,19.06,0.4,Rejected
2104,19.04,0.4,Rejected
513,19.04,0.47,Rejected
797,19.03,0.4,Rejected
2051,19.01,0.4,Rejected
669,19.0,0.4,Rejected
793,19.0,0.47,Rejected
